2022-08-14 20:59:08 | INFO | fairseq.tasks.text_to_speech | Please install tensorboardX: pip install tensorboardX
2022-08-14 22:15:49 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:    501 / 3498 loss=1.3862943649291992, ntokens=320, nsentences=1, sample_size=1, ncorrect=1
2022-08-14 22:15:54 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:    601 / 3498 loss=1.3862943649291992, ntokens=503, nsentences=1, sample_size=1, ncorrect=1
2022-08-14 22:15:58 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:    701 / 3498 loss=1.3862943649291992, ntokens=419, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:16:03 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:    801 / 3498 loss=1.3862943649291992, ntokens=407, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:16:08 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:    901 / 3498 loss=1.3862943649291992, ntokens=423, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:16:13 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   1001 / 3498 loss=1.3862943649291992, ntokens=271, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:16:18 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   1101 / 3498 loss=1.3862943649291992, ntokens=410, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:16:23 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   1201 / 3498 loss=1.3862943649291992, ntokens=512, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:16:28 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   1301 / 3498 loss=1.3862943649291992, ntokens=326, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:16:33 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   1401 / 3498 loss=1.3862943649291992, ntokens=443, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:16:37 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   1501 / 3498 loss=1.3862943649291992, ntokens=362, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:16:42 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   1601 / 3498 loss=1.3862943649291992, ntokens=448, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:16:47 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   1701 / 3498 loss=1.3862943649291992, ntokens=385, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:16:52 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   1801 / 3498 loss=1.3862943649291992, ntokens=338, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:16:57 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   1901 / 3498 loss=1.3862943649291992, ntokens=401, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:17:02 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   2001 / 3498 loss=1.3862943649291992, ntokens=510, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:17:07 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   2101 / 3498 loss=1.3862943649291992, ntokens=271, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:17:11 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   2201 / 3498 loss=1.3862943649291992, ntokens=469, nsentences=1, sample_size=1, ncorrect=1
2022-08-14 22:17:16 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   2301 / 3498 loss=1.3862943649291992, ntokens=275, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:17:21 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   2401 / 3498 loss=1.3862943649291992, ntokens=369, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:17:26 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   2501 / 3498 loss=1.3862943649291992, ntokens=323, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:17:30 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   2601 / 3498 loss=1.3862943649291992, ntokens=393, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:17:35 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   2701 / 3498 loss=1.3862943649291992, ntokens=371, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:17:40 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   2801 / 3498 loss=1.3862943649291992, ntokens=379, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:17:45 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   2901 / 3498 loss=1.3862943649291992, ntokens=294, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:17:50 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   3001 / 3498 loss=1.3862943649291992, ntokens=472, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:17:54 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   3101 / 3498 loss=1.3862943649291992, ntokens=343, nsentences=1, sample_size=1, ncorrect=1
2022-08-14 22:17:59 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   3201 / 3498 loss=1.3862943649291992, ntokens=294, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:18:04 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   3301 / 3498 loss=1.3862943649291992, ntokens=349, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:18:09 | INFO | fairseq.logging.progress_bar | valid on 'test1' subset:   3401 / 3498 loss=1.3862943649291992, ntokens=449, nsentences=1, sample_size=1, ncorrect=0
2022-08-14 22:18:14 | INFO | test1 | valid on 'test1' subset | loss 2 | nll_loss 0.005 | accuracy 21.6 | wps 0 | wpb 1.33814e+06 | bsz 3498
2022-08-14 22:18:16 | INFO | fairseq.tasks.text_to_speech | Please install tensorboardX: pip install tensorboardX
2022-08-14 22:18:17 | INFO | fairseq_cli.validate | loading model(s) from /home/sliu/project_space/pruning_fails/QA/robert/race/gm/0.738/checkpoint_best.pt
2022-08-14 22:18:28 | INFO | fairseq.tasks.sentence_ranking | [input] dictionary: 50265 types
2022-08-14 22:18:38 | INFO | fairseq_cli.validate | {'_name': None, 'common': {'_name': None, 'no_progress_bar': False, 'log_interval': 100, 'log_format': None, 'log_file': None, 'aim_repo': None, 'aim_run_hash': None, 'tensorboard_logdir': None, 'wandb_project': None, 'azureml_logging': False, 'seed': 1, 'cpu': False, 'tpu': False, 'bf16': False, 'memory_efficient_bf16': False, 'fp16': True, 'memory_efficient_fp16': False, 'fp16_no_flatten_grads': False, 'fp16_init_scale': 4, 'fp16_scale_window': 128, 'fp16_scale_tolerance': 0.0, 'on_cpu_convert_precision': False, 'min_loss_scale': 0.0001, 'threshold_loss_scale': 1.0, 'amp': False, 'amp_batch_retries': 2, 'amp_init_scale': 128, 'amp_scale_window': None, 'user_dir': None, 'empty_cache_freq': 0, 'all_gather_list_size': 16384, 'model_parallel_size': 1, 'quantization_config_path': None, 'profile': False, 'reset_logging': False, 'suppress_crashes': False, 'use_plasma_view': False, 'plasma_path': '/tmp/plasma'}, 'common_eval': {'_name': None, 'path': '/home/sliu/project_space/pruning_fails/QA/robert/race/gm/0.738/checkpoint_best.pt', 'post_process': None, 'quiet': False, 'model_overrides': '{}', 'results_path': None}, 'distributed_training': {'_name': None, 'distributed_world_size': 1, 'distributed_num_procs': 1, 'distributed_rank': 0, 'distributed_backend': 'nccl', 'distributed_init_method': None, 'distributed_port': -1, 'device_id': 0, 'distributed_no_spawn': False, 'ddp_backend': 'legacy_ddp', 'ddp_comm_hook': 'none', 'bucket_cap_mb': 25, 'fix_batches_to_gpus': False, 'find_unused_parameters': False, 'gradient_as_bucket_view': False, 'fast_stat_sync': False, 'heartbeat_timeout': -1, 'broadcast_buffers': False, 'slowmo_momentum': None, 'slowmo_base_algorithm': 'localsgd', 'localsgd_frequency': 3, 'nprocs_per_node': 1, 'pipeline_model_parallel': False, 'pipeline_balance': None, 'pipeline_devices': None, 'pipeline_chunks': 0, 'pipeline_encoder_balance': None, 'pipeline_encoder_devices': None, 'pipeline_decoder_balance': None, 'pipeline_decoder_devices': None, 'pipeline_checkpoint': 'never', 'zero_sharding': 'none', 'fp16': True, 'memory_efficient_fp16': False, 'tpu': False, 'no_reshard_after_forward': False, 'fp32_reduce_scatter': False, 'cpu_offload': False, 'use_sharded_state': False, 'not_fsdp_flatten_parameters': False}, 'dataset': {'_name': None, 'num_workers': 1, 'skip_invalid_size_inputs_valid_test': False, 'max_tokens': None, 'batch_size': 1, 'required_batch_size_multiple': 1, 'required_seq_len_multiple': 1, 'dataset_impl': None, 'data_buffer_size': 10, 'train_subset': 'train', 'valid_subset': 'test1', 'combine_valid_subsets': None, 'ignore_unused_valid_subsets': False, 'validate_interval': 1, 'validate_interval_updates': 0, 'validate_after_updates': 0, 'fixed_validation_seed': None, 'disable_validation': False, 'max_tokens_valid': None, 'batch_size_valid': 4, 'max_valid_steps': None, 'curriculum': 0, 'gen_subset': 'test', 'num_shards': 1, 'shard_id': 0, 'grouped_shuffling': False, 'update_epoch_batch_itr': False, 'update_ordered_indices_seed': False}, 'optimization': {'_name': None, 'max_epoch': 3, 'max_update': 0, 'stop_time_hours': 0.0, 'clip_norm': 0.0, 'sentence_avg': False, 'update_freq': [4], 'lr': [1e-05], 'stop_min_lr': -1.0, 'use_bmuf': False, 'skip_remainder_batch': False}, 'checkpoint': {'_name': None, 'save_dir': '/home/sliu/project_space/pruning_fails/QA/robert/race/gm/0.738', 'restore_file': '/home/sliu/project_space/pruning_fails/QA/pretrained_models/roberta.large/model.pt', 'continue_once': None, 'finetune_from_model': None, 'reset_dataloader': True, 'reset_lr_scheduler': False, 'reset_meters': True, 'reset_optimizer': True, 'optimizer_overrides': '{}', 'save_interval': 1, 'save_interval_updates': 0, 'keep_interval_updates': -1, 'keep_interval_updates_pattern': -1, 'keep_last_epochs': -1, 'keep_best_checkpoints': -1, 'no_save': False, 'no_epoch_checkpoints': False, 'no_last_checkpoints': False, 'no_save_optimizer_state': False, 'best_checkpoint_metric': 'accuracy', 'maximize_best_checkpoint_metric': True, 'patience': -1, 'checkpoint_suffix': '', 'checkpoint_shard_count': 1, 'load_checkpoint_on_all_dp_ranks': False, 'write_checkpoints_asynchronously': False, 'model_parallel_size': 1}, 'bmuf': {'_name': None, 'block_lr': 1.0, 'block_momentum': 0.875, 'global_sync_iter': 50, 'warmup_iterations': 500, 'use_nbm': False, 'average_sync': False, 'distributed_world_size': 1}, 'generation': {'_name': None, 'beam': 5, 'nbest': 1, 'max_len_a': 0.0, 'max_len_b': 200, 'min_len': 1, 'match_source_len': False, 'unnormalized': False, 'no_early_stop': False, 'no_beamable_mm': False, 'lenpen': 1.0, 'unkpen': 0.0, 'replace_unk': None, 'sacrebleu': False, 'score_reference': False, 'prefix_size': 0, 'no_repeat_ngram_size': 0, 'sampling': False, 'sampling_topk': -1, 'sampling_topp': -1.0, 'constraints': None, 'temperature': 1.0, 'diverse_beam_groups': -1, 'diverse_beam_strength': 0.5, 'diversity_rate': -1.0, 'print_alignment': None, 'print_step': False, 'lm_path': None, 'lm_weight': 0.0, 'iter_decode_eos_penalty': 0.0, 'iter_decode_max_iter': 10, 'iter_decode_force_max_iter': False, 'iter_decode_with_beam': 1, 'iter_decode_with_external_reranker': False, 'retain_iter_history': False, 'retain_dropout': False, 'retain_dropout_modules': None, 'decoding_format': None, 'no_seed_provided': False, 'eos_token': None}, 'eval_lm': {'_name': None, 'output_word_probs': False, 'output_word_stats': False, 'context_window': 0, 'softmax_batch': 9223372036854775807}, 'interactive': {'_name': None, 'buffer_size': 0, 'input': '-'}, 'model': Namespace(_name='roberta_large', activation_dropout=0.0, activation_fn='gelu', adam_betas='(0.9, 0.98)', adam_eps=1e-06, adaptive_input=False, aim_repo=None, aim_run_hash=None, all_gather_list_size=16384, amp=False, amp_batch_retries=2, amp_init_scale=128, amp_scale_window=None, arch='roberta_large', attention_dropout=0.1, azureml_logging=False, batch_size=1, batch_size_valid=4, best_checkpoint_metric='accuracy', bf16=False, bpe=None, broadcast_buffers=False, bucket_cap_mb=25, checkpoint_shard_count=1, checkpoint_suffix='', clip_norm=0.0, combine_valid_subsets=None, continue_once=None, cpu=False, cpu_offload=False, criterion='sentence_ranking', curriculum=0, data='/home/sliu/project_space/pruning_fails/QA/robert/race/RACE', data_buffer_size=10, dataset_impl=None, ddp_backend='legacy_ddp', ddp_comm_hook='none', device_id=0, disable_validation=False, distributed_backend='nccl', distributed_init_method=None, distributed_no_spawn=False, distributed_num_procs=1, distributed_port=-1, distributed_rank=0, distributed_world_size=1, dropout=0.1, ema_decay=0.9999, ema_fp32=False, ema_seed_model=None, ema_start_update=0, ema_update_freq=1, empty_cache_freq=0, encoder_attention_heads=16, encoder_embed_dim=1024, encoder_ffn_embed_dim=4096, encoder_layerdrop=0, encoder_layers=24, encoder_layers_to_keep=None, encoder_learned_pos=True, encoder_normalize_before=False, eos=2, fast_stat_sync=False, ffn_blocks_to_remove=-1, ffn_reg_scale_factor=0.0, find_unused_parameters=False, finetune_from_model=None, fix=True, fix_batches_to_gpus=False, fixed_validation_seed=None, force_anneal=None, fp16=True, fp16_adam_stats=False, fp16_init_scale=4, fp16_no_flatten_grads=False, fp16_scale_tolerance=0.0, fp16_scale_window=128, fp32_reduce_scatter=False, gen_subset='test', gradient_as_bucket_view=False, grouped_shuffling=False, growth=None, heartbeat_timeout=-1, ignore_unused_valid_subsets=False, imp_iters=1, init_token=0, keep_best_checkpoints=-1, keep_interval_updates=-1, keep_interval_updates_pattern=-1, keep_last_epochs=-1, layernorm_embedding=True, load_checkpoint_on_all_dp_ranks=False, localsgd_frequency=3, log_file=None, log_format=None, log_interval=100, lr=[1e-05], lr_scheduler='fixed', lr_shrink=0.1, max_epoch=3, max_option_length=128, max_positions=512, max_source_positions=512, max_tokens=None, max_tokens_valid=None, max_update=0, max_valid_steps=None, maximize_best_checkpoint_metric=True, memory_efficient_bf16=False, memory_efficient_fp16=False, mha_heads_to_keep=-1, mha_reg_scale_factor=0.0, min_loss_scale=0.0001, min_params_to_wrap=100000000, model_parallel_size=1, no_epoch_checkpoints=False, no_last_checkpoints=False, no_progress_bar=False, no_reshard_after_forward=False, no_save=False, no_save_optimizer_state=False, no_scale_embedding=True, no_seed_provided=False, no_shuffle=False, no_token_positional_embeddings=False, not_fsdp_flatten_parameters=False, nprocs_per_node=1, num_classes=4, num_shards=1, num_workers=1, on_cpu_convert_precision=False, optimizer='adam', optimizer_overrides='{}', pad=1, path='/home/sliu/project_space/pruning_fails/QA/robert/race/gm/0.738/checkpoint_best.pt', patience=-1, pipeline_balance=None, pipeline_checkpoint='never', pipeline_chunks=0, pipeline_decoder_balance=None, pipeline_decoder_devices=None, pipeline_devices=None, pipeline_encoder_balance=None, pipeline_encoder_devices=None, pipeline_model_parallel=False, plasma_path='/tmp/plasma', pooler_activation_fn='tanh', pooler_dropout=0.0, profile=False, prune=None, prune_rate=0.5, quant_noise_pq=0, quant_noise_pq_block_size=8, quant_noise_scalar=0, quantization_config_path=None, ranking_head_name='sentence_classification_head', redistribution=None, required_batch_size_multiple=1, required_seq_len_multiple=1, reset_dataloader=True, reset_logging=False, reset_lr_scheduler=False, reset_meters=True, reset_optimizer=True, restore_file='/home/sliu/project_space/pruning_fails/QA/pretrained_models/roberta.large/model.pt', save_dir='/home/sliu/project_space/pruning_fails/QA/robert/race/gm/0.738', save_interval=1, save_interval_updates=0, save_predictions='/home/sliu/project_space/pruning_fails/QA/robert/race/gm/0.738/preds_high.tsv', scoring='bleu', seed=1, sentence_avg=False, separator_token=2, shard_id=0, shorten_data_split_list='', shorten_method='truncate', simul_type=None, skip_invalid_size_inputs_valid_test=False, skip_remainder_batch=False, slowmo_base_algorithm='localsgd', slowmo_momentum=None, sparse=True, sparse_init='one_shot_gm', sparsity=0.738, spectral_norm_classification_head=False, stop_min_lr=-1.0, stop_time_hours=0, store_ema=False, suppress_crashes=False, task='sentence_ranking', tensorboard_logdir=None, threshold_loss_scale=1.0, tokenizer=None, tpu=False, train_subset='train', unk=3, untie_weights_roberta=False, update_epoch_batch_itr=False, update_freq=[4], update_ordered_indices_seed=False, use_bmuf=False, use_old_adam=False, use_plasma_view=False, use_sharded_state=False, user_dir=None, valid_subset='test1', validate_after_updates=0, validate_interval=1, validate_interval_updates=0, wandb_project=None, warmup_updates=0, weight_decay=0.01, write_checkpoints_asynchronously=False, zero_sharding='none'), 'task': Namespace(_name='sentence_ranking', activation_dropout=0.0, activation_fn='gelu', adam_betas='(0.9, 0.98)', adam_eps=1e-06, adaptive_input=False, aim_repo=None, aim_run_hash=None, all_gather_list_size=16384, amp=False, amp_batch_retries=2, amp_init_scale=128, amp_scale_window=None, arch='roberta_large', attention_dropout=0.1, azureml_logging=False, batch_size=1, batch_size_valid=4, best_checkpoint_metric='accuracy', bf16=False, bpe=None, broadcast_buffers=False, bucket_cap_mb=25, checkpoint_shard_count=1, checkpoint_suffix='', clip_norm=0.0, combine_valid_subsets=None, continue_once=None, cpu=False, cpu_offload=False, criterion='sentence_ranking', curriculum=0, data='/home/sliu/project_space/pruning_fails/QA/robert/race/RACE', data_buffer_size=10, dataset_impl=None, ddp_backend='legacy_ddp', ddp_comm_hook='none', device_id=0, disable_validation=False, distributed_backend='nccl', distributed_init_method=None, distributed_no_spawn=False, distributed_num_procs=1, distributed_port=-1, distributed_rank=0, distributed_world_size=1, dropout=0.1, ema_decay=0.9999, ema_fp32=False, ema_seed_model=None, ema_start_update=0, ema_update_freq=1, empty_cache_freq=0, encoder_attention_heads=16, encoder_embed_dim=1024, encoder_ffn_embed_dim=4096, encoder_layerdrop=0, encoder_layers=24, encoder_layers_to_keep=None, encoder_learned_pos=True, encoder_normalize_before=False, eos=2, fast_stat_sync=False, ffn_blocks_to_remove=-1, ffn_reg_scale_factor=0.0, find_unused_parameters=False, finetune_from_model=None, fix=True, fix_batches_to_gpus=False, fixed_validation_seed=None, force_anneal=None, fp16=True, fp16_adam_stats=False, fp16_init_scale=4, fp16_no_flatten_grads=False, fp16_scale_tolerance=0.0, fp16_scale_window=128, fp32_reduce_scatter=False, gen_subset='test', gradient_as_bucket_view=False, grouped_shuffling=False, growth=None, heartbeat_timeout=-1, ignore_unused_valid_subsets=False, imp_iters=1, init_token=0, keep_best_checkpoints=-1, keep_interval_updates=-1, keep_interval_updates_pattern=-1, keep_last_epochs=-1, layernorm_embedding=True, load_checkpoint_on_all_dp_ranks=False, localsgd_frequency=3, log_file=None, log_format=None, log_interval=100, lr=[1e-05], lr_scheduler='fixed', lr_shrink=0.1, max_epoch=3, max_option_length=128, max_positions=512, max_source_positions=512, max_tokens=None, max_tokens_valid=None, max_update=0, max_valid_steps=None, maximize_best_checkpoint_metric=True, memory_efficient_bf16=False, memory_efficient_fp16=False, mha_heads_to_keep=-1, mha_reg_scale_factor=0.0, min_loss_scale=0.0001, min_params_to_wrap=100000000, model_parallel_size=1, no_epoch_checkpoints=False, no_last_checkpoints=False, no_progress_bar=False, no_reshard_after_forward=False, no_save=False, no_save_optimizer_state=False, no_scale_embedding=True, no_seed_provided=False, no_shuffle=False, no_token_positional_embeddings=False, not_fsdp_flatten_parameters=False, nprocs_per_node=1, num_classes=4, num_shards=1, num_workers=1, on_cpu_convert_precision=False, optimizer='adam', optimizer_overrides='{}', pad=1, path='/home/sliu/project_space/pruning_fails/QA/robert/race/gm/0.738/checkpoint_best.pt', patience=-1, pipeline_balance=None, pipeline_checkpoint='never', pipeline_chunks=0, pipeline_decoder_balance=None, pipeline_decoder_devices=None, pipeline_devices=None, pipeline_encoder_balance=None, pipeline_encoder_devices=None, pipeline_model_parallel=False, plasma_path='/tmp/plasma', pooler_activation_fn='tanh', pooler_dropout=0.0, profile=False, prune=None, prune_rate=0.5, quant_noise_pq=0, quant_noise_pq_block_size=8, quant_noise_scalar=0, quantization_config_path=None, ranking_head_name='sentence_classification_head', redistribution=None, required_batch_size_multiple=1, required_seq_len_multiple=1, reset_dataloader=True, reset_logging=False, reset_lr_scheduler=False, reset_meters=True, reset_optimizer=True, restore_file='/home/sliu/project_space/pruning_fails/QA/pretrained_models/roberta.large/model.pt', save_dir='/home/sliu/project_space/pruning_fails/QA/robert/race/gm/0.738', save_interval=1, save_interval_updates=0, save_predictions='/home/sliu/project_space/pruning_fails/QA/robert/race/gm/0.738/preds_high.tsv', scoring='bleu', seed=1, sentence_avg=False, separator_token=2, shard_id=0, shorten_data_split_list='', shorten_method='truncate', simul_type=None, skip_invalid_size_inputs_valid_test=False, skip_remainder_batch=False, slowmo_base_algorithm='localsgd', slowmo_momentum=None, sparse=True, sparse_init='one_shot_gm', sparsity=0.738, spectral_norm_classification_head=False, stop_min_lr=-1.0, stop_time_hours=0, store_ema=False, suppress_crashes=False, task='sentence_ranking', tensorboard_logdir=None, threshold_loss_scale=1.0, tokenizer=None, tpu=False, train_subset='train', unk=3, untie_weights_roberta=False, update_epoch_batch_itr=False, update_freq=[4], update_ordered_indices_seed=False, use_bmuf=False, use_old_adam=False, use_plasma_view=False, use_sharded_state=False, user_dir=None, valid_subset='test1', validate_after_updates=0, validate_interval=1, validate_interval_updates=0, wandb_project=None, warmup_updates=0, weight_decay=0.01, write_checkpoints_asynchronously=False, zero_sharding='none'), 'criterion': Namespace(_name='sentence_ranking', activation_dropout=0.0, activation_fn='gelu', adam_betas='(0.9, 0.98)', adam_eps=1e-06, adaptive_input=False, aim_repo=None, aim_run_hash=None, all_gather_list_size=16384, amp=False, amp_batch_retries=2, amp_init_scale=128, amp_scale_window=None, arch='roberta_large', attention_dropout=0.1, azureml_logging=False, batch_size=1, batch_size_valid=4, best_checkpoint_metric='accuracy', bf16=False, bpe=None, broadcast_buffers=False, bucket_cap_mb=25, checkpoint_shard_count=1, checkpoint_suffix='', clip_norm=0.0, combine_valid_subsets=None, continue_once=None, cpu=False, cpu_offload=False, criterion='sentence_ranking', curriculum=0, data='/home/sliu/project_space/pruning_fails/QA/robert/race/RACE', data_buffer_size=10, dataset_impl=None, ddp_backend='legacy_ddp', ddp_comm_hook='none', device_id=0, disable_validation=False, distributed_backend='nccl', distributed_init_method=None, distributed_no_spawn=False, distributed_num_procs=1, distributed_port=-1, distributed_rank=0, distributed_world_size=1, dropout=0.1, ema_decay=0.9999, ema_fp32=False, ema_seed_model=None, ema_start_update=0, ema_update_freq=1, empty_cache_freq=0, encoder_attention_heads=16, encoder_embed_dim=1024, encoder_ffn_embed_dim=4096, encoder_layerdrop=0, encoder_layers=24, encoder_layers_to_keep=None, encoder_learned_pos=True, encoder_normalize_before=False, eos=2, fast_stat_sync=False, ffn_blocks_to_remove=-1, ffn_reg_scale_factor=0.0, find_unused_parameters=False, finetune_from_model=None, fix=True, fix_batches_to_gpus=False, fixed_validation_seed=None, force_anneal=None, fp16=True, fp16_adam_stats=False, fp16_init_scale=4, fp16_no_flatten_grads=False, fp16_scale_tolerance=0.0, fp16_scale_window=128, fp32_reduce_scatter=False, gen_subset='test', gradient_as_bucket_view=False, grouped_shuffling=False, growth=None, heartbeat_timeout=-1, ignore_unused_valid_subsets=False, imp_iters=1, init_token=0, keep_best_checkpoints=-1, keep_interval_updates=-1, keep_interval_updates_pattern=-1, keep_last_epochs=-1, layernorm_embedding=True, load_checkpoint_on_all_dp_ranks=False, localsgd_frequency=3, log_file=None, log_format=None, log_interval=100, lr=[1e-05], lr_scheduler='fixed', lr_shrink=0.1, max_epoch=3, max_option_length=128, max_positions=512, max_source_positions=512, max_tokens=None, max_tokens_valid=None, max_update=0, max_valid_steps=None, maximize_best_checkpoint_metric=True, memory_efficient_bf16=False, memory_efficient_fp16=False, mha_heads_to_keep=-1, mha_reg_scale_factor=0.0, min_loss_scale=0.0001, min_params_to_wrap=100000000, model_parallel_size=1, no_epoch_checkpoints=False, no_last_checkpoints=False, no_progress_bar=False, no_reshard_after_forward=False, no_save=False, no_save_optimizer_state=False, no_scale_embedding=True, no_seed_provided=False, no_shuffle=False, no_token_positional_embeddings=False, not_fsdp_flatten_parameters=False, nprocs_per_node=1, num_classes=4, num_shards=1, num_workers=1, on_cpu_convert_precision=False, optimizer='adam', optimizer_overrides='{}', pad=1, path='/home/sliu/project_space/pruning_fails/QA/robert/race/gm/0.738/checkpoint_best.pt', patience=-1, pipeline_balance=None, pipeline_checkpoint='never', pipeline_chunks=0, pipeline_decoder_balance=None, pipeline_decoder_devices=None, pipeline_devices=None, pipeline_encoder_balance=None, pipeline_encoder_devices=None, pipeline_model_parallel=False, plasma_path='/tmp/plasma', pooler_activation_fn='tanh', pooler_dropout=0.0, profile=False, prune=None, prune_rate=0.5, quant_noise_pq=0, quant_noise_pq_block_size=8, quant_noise_scalar=0, quantization_config_path=None, ranking_head_name='sentence_classification_head', redistribution=None, required_batch_size_multiple=1, required_seq_len_multiple=1, reset_dataloader=True, reset_logging=False, reset_lr_scheduler=False, reset_meters=True, reset_optimizer=True, restore_file='/home/sliu/project_space/pruning_fails/QA/pretrained_models/roberta.large/model.pt', save_dir='/home/sliu/project_space/pruning_fails/QA/robert/race/gm/0.738', save_interval=1, save_interval_updates=0, save_predictions='/home/sliu/project_space/pruning_fails/QA/robert/race/gm/0.738/preds_high.tsv', scoring='bleu', seed=1, sentence_avg=False, separator_token=2, shard_id=0, shorten_data_split_list='', shorten_method='truncate', simul_type=None, skip_invalid_size_inputs_valid_test=False, skip_remainder_batch=False, slowmo_base_algorithm='localsgd', slowmo_momentum=None, sparse=True, sparse_init='one_shot_gm', sparsity=0.738, spectral_norm_classification_head=False, stop_min_lr=-1.0, stop_time_hours=0, store_ema=False, suppress_crashes=False, task='sentence_ranking', tensorboard_logdir=None, threshold_loss_scale=1.0, tokenizer=None, tpu=False, train_subset='train', unk=3, untie_weights_roberta=False, update_epoch_batch_itr=False, update_freq=[4], update_ordered_indices_seed=False, use_bmuf=False, use_old_adam=False, use_plasma_view=False, use_sharded_state=False, user_dir=None, valid_subset='test1', validate_after_updates=0, validate_interval=1, validate_interval_updates=0, wandb_project=None, warmup_updates=0, weight_decay=0.01, write_checkpoints_asynchronously=False, zero_sharding='none'), 'optimizer': {'_name': 'adam', 'adam_betas': '(0.9, 0.98)', 'adam_eps': 1e-06, 'weight_decay': 0.01, 'use_old_adam': False, 'fp16_adam_stats': False, 'tpu': False, 'lr': [1e-05]}, 'lr_scheduler': {'_name': 'fixed', 'force_anneal': None, 'lr_shrink': 0.1, 'warmup_updates': 0, 'lr': [1e-05]}, 'scoring': {'_name': 'bleu', 'pad': 1, 'eos': 2, 'unk': 3}, 'bpe': None, 'tokenizer': None, 'ema': {'_name': None, 'store_ema': False, 'ema_decay': 0.9999, 'ema_start_update': 0, 'ema_seed_model': None, 'ema_update_freq': 1, 'ema_fp32': False}, 'spa': {'_name': None, 'imp_iters': 1, 'sparse': True, 'fix': True, 'growth': None, 'prune': None, 'sparse_init': 'one_shot_gm', 'redistribution': None, 'sparsity': 0.738, 'prune_rate': 0.5}, 'simul_type': None}
